ID,Name,Mark
1,Student_1,2.09
2,Student_2,3.72
3,Student_3,7.08
4,Student_4,5.00
5,Student_5,6.65
6,Student_6,6.27
7,Student_7,9.39
8,Student_8,6.89
9,Student_9,2.95
10,Student_10,4.44
11,Student_11,9.16
12,Student_12,5.34
13,Student_13,1.25
14,Student_14,3.64
15,Student_15,0.43
16,Student_16,3.48
17,Student_17,7.09
18,Student_18,2.60
19,Student_19,0.39
20,Student_20,6.55
21,Student_21,9.95
22,Student_22,1.74
23,Student_23,0.09
24,Student_24,9.20
25,Student_25,9.26
26,Student_26,1.07
27,Student_27,2.79
28,Student_28,1.76
29,Student_29,5.12
30,Student_30,3.97
31,Student_31,7.99
32,Student_32,5.19
33,Student_33,1.69
34,Student_34,8.60
35,Student_35,3.72
36,Student_36,6.56
37,Student_37,0.65
38,Student_38,8.97
39,Student_39,2.20
40,Student_40,1.93
41,Student_41,1.30
42,Student_42,3.14
43,Student_43,7.77
44,Student_44,7.77
45,Student_45,0.99
46,Student_46,2.52
47,Student_47,3.01
48,Student_48,4.76
49,Student_49,0.04
50,Student_50,9.15
51,Student_51,7.75
52,Student_52,3.53
53,Student_53,3.57
54,Student_54,4.79
55,Student_55,9.75
56,Student_56,4.83
57,Student_57,7.62
58,Student_58,9.37
59,Student_59,7.84
60,Student_60,9.80
61,Student_61,1.06
62,Student_62,5.00
63,Student_63,2.38
64,Student_64,8.07
65,Student_65,9.54
66,Student_66,5.14
67,Student_67,2.30
68,Student_68,4.12
69,Student_69,3.05
70,Student_70,6.46
71,Student_71,7.09
72,Student_72,8.66
73,Student_73,9.20
74,Student_74,9.79
75,Student_75,9.09
76,Student_76,2.39
77,Student_77,8.55
78,Student_78,6.95
79,Student_79,1.55
80,Student_80,1.56
81,Student_81,1.79
82,Student_82,6.40
83,Student_83,8.88
84,Student_84,7.91
85,Student_85,9.26
86,Student_86,3.78
87,Student_87,4.08
88,Student_88,0.64
89,Student_89,9.66
90,Student_90,4.52
91,Student_91,6.52
92,Student_92,5.13
93,Student_93,0.66
94,Student_94,7.69
95,Student_95,7.85
96,Student_96,5.09
97,Student_97,3.03
98,Student_98,0.65
99,Student_99,3.78
100,Student_100,2.19
101,Student_101,2.77
102,Student_102,7.39
103,Student_103,0.32
104,Student_104,7.24
105,Student_105,7.44
106,Student_106,3.61
107,Student_107,9.25
108,Student_108,7.48
109,Student_109,4.81
110,Student_110,4.60
111,Student_111,6.18
112,Student_112,8.79
113,Student_113,9.68
114,Student_114,9.11
115,Student_115,3.81
116,Student_116,5.48
117,Student_117,8.17
118,Student_118,9.78
119,Student_119,0.84
120,Student_120,1.03
121,Student_121,6.49
122,Student_122,7.49
123,Student_123,7.75
124,Student_124,6.19
125,Student_125,0.67
126,Student_126,0.54
127,Student_127,1.06
128,Student_128,7.14
129,Student_129,6.58
130,Student_130,4.77
131,Student_131,8.83
132,Student_132,0.73
133,Student_133,0.49
134,Student_134,7.78
135,Student_135,8.38
136,Student_136,0.71
137,Student_137,4.72
138,Student_138,0.05
139,Student_139,8.56
140,Student_140,2.80
141,Student_141,2.40
142,Student_142,9.44
143,Student_143,1.00
144,Student_144,5.56
145,Student_145,8.44
146,Student_146,1.47
147,Student_147,8.26
148,Student_148,2.08
149,Student_149,0.17
150,Student_150,8.28
151,Student_151,9.77
152,Student_152,6.29
153,Student_153,1.69
154,Student_154,9.00
155,Student_155,4.81
156,Student_156,1.06
157,Student_157,8.51
158,Student_158,7.90
159,Student_159,4.36
160,Student_160,7.62
161,Student_161,7.32
162,Student_162,4.74
163,Student_163,0.81
164,Student_164,1.05
165,Student_165,5.21
166,Student_166,0.75
167,Student_167,6.45
168,Student_168,3.49
169,Student_169,9.66
170,Student_170,0.47
171,Student_171,3.18
172,Student_172,6.71
173,Student_173,8.99
174,Student_174,2.93
175,Student_175,7.69
176,Student_176,3.36
177,Student_177,1.45
178,Student_178,7.66
179,Student_179,9.35
180,Student_180,1.06
181,Student_181,1.40
182,Student_182,3.32
183,Student_183,1.65
