ID,Name,Mark
1,Student_1,7.5
2,Student_2,8.2
3,Student_3,6.8
4,Student_4,9.1
5,Student_5,5.4
6,Student_6,7.9
7,Student_7,8.7
8,Student_8,6.3
9,Student_9,9.3
10,Student_10,7.1
11,Student_11,8.4
12,Student_12,6.9
13,Student_13,7.6
14,Student_14,8.8
15,Student_15,5.7
16,Student_16,9.0
17,Student_17,7.3
18,Student_18,6.5
19,Student_19,8.1
20,Student_20,7.8
21,Student_21,6.2
22,Student_22,8.9
23,Student_23,7.4
24,Student_24,6.8
25,Student_25,8.3
26,Student_26,7.5
27,Student_27,8.2
28,Student_28,6.8
29,Student_29,9.1
30,Student_30,5.4
31,Student_31,7.9
32,Student_32,8.7
33,Student_33,6.3
34,Student_34,9.3
35,Student_35,7.1
36,Student_36,8.4
37,Student_37,6.9
38,Student_38,7.6
39,Student_39,8.8
40,Student_40,5.7
41,Student_41,9.0
42,Student_42,7.3
43,Student_43,6.5
44,Student_44,8.1
45,Student_45,7.8
46,Student_46,6.2
47,Student_47,8.9
48,Student_48,7.4
49,Student_49,6.8
50,Student_50,8.3
51,Student_51,7.5
52,Student_52,8.2
53,Student_53,6.8
54,Student_54,9.1
55,Student_55,5.4
56,Student_56,7.9
57,Student_57,8.7
58,Student_58,6.3
59,Student_59,9.3
60,Student_60,7.1
61,Student_61,8.4
62,Student_62,6.9
63,Student_63,7.6
64,Student_64,8.8
65,Student_65,5.7
66,Student_66,9.0
67,Student_67,7.3
68,Student_68,6.5
69,Student_69,8.1
70,Student_70,7.8
71,Student_71,6.2
72,Student_72,8.9
73,Student_73,7.4
74,Student_74,6.8
75,Student_75,8.3
76,Student_76,7.5
77,Student_77,8.2
78,Student_78,6.8
79,Student_79,9.1
80,Student_80,5.4
81,Student_81,7.9
82,Student_82,8.7
83,Student_83,6.3
84,Student_84,9.3
85,Student_85,7.1
86,Student_86,8.4
87,Student_87,6.9
88,Student_88,7.6
89,Student_89,8.8
90,Student_90,5.7
91,Student_91,9.0
92,Student_92,7.3
93,Student_93,6.5
94,Student_94,8.1
95,Student_95,7.8
96,Student_96,6.2
97,Student_97,8.9
98,Student_98,7.4
99,Student_99,6.8
100,Student_100,8.3
101,Student_101,7.5
102,Student_102,8.2
103,Student_103,6.8
104,Student_104,9.1
105,Student_105,5.4
106,Student_106,7.9
107,Student_107,8.7
108,Student_108,6.3
109,Student_109,9.3
110,Student_110,7.1
111,Student_111,8.4
112,Student_112,6.9
113,Student_113,7.6
114,Student_114,8.8
115,Student_115,5.7
116,Student_116,9.0
117,Student_117,7.3
118,Student_118,6.5
119,Student_119,8.1
120,Student_120,7.8
121,Student_121,6.2
122,Student_122,8.9
123,Student_123,7.4
124,Student_124,6.8
125,Student_125,8.3
126,Student_126,7.5
127,Student_127,8.2
128,Student_128,6.8
129,Student_129,9.1
130,Student_130,5.4
131,Student_131,7.9
132,Student_132,8.7
133,Student_133,6.3
134,Student_134,9.3
135,Student_135,7.1
136,Student_136,8.4
137,Student_137,6.9
138,Student_138,7.6
139,Student_139,8.8
140,Student_140,5.7
141,Student_141,9.0
142,Student_142,7.3
143,Student_143,6.5
144,Student_144,8.1
145,Student_145,7.8
146,Student_146,6.2
147,Student_147,8.9
148,Student_148,7.4
149,Student_149,6.8
150,Student_150,8.3
151,Student_151,7.5
152,Student_152,8.2
153,Student_153,6.8
154,Student_154,9.1
155,Student_155,5.4
156,Student_156,7.9
157,Student_157,8.7
158,Student_158,6.3
159,Student_159,9.3
160,Student_160,7.1
161,Student_161,8.4
162,Student_162,6.9
163,Student_163,7.6
164,Student_164,8.8
165,Student_165,5.7
166,Student_166,9.0
167,Student_167,7.3
168,Student_168,6.5
169,Student_169,8.1
170,Student_170,7.8
171,Student_171,6.2
172,Student_172,8.9
173,Student_173,7.4
174,Student_174,6.8
175,Student_175,8.3
176,Student_176,7.5
177,Student_177,8.2
178,Student_178,6.8
179,Student_179,9.1
180,Student_180,5.4
181,Student_181,7.9
182,Student_182,8.7
183,Student_183,6.3
184,Student_184,9.3
185,Student_185,7.1
186,Student_186,8.4
187,Student_187,6.9
188,Student_188,7.6
189,Student_189,8.8
190,Student_190,5.7
191,Student_191,9.0
192,Student_192,7.3
193,Student_193,6.5
194,Student_194,8.1
195,Student_195,7.8
196,Student_196,6.2
197,Student_197,8.9
198,Student_198,7.4
199,Student_199,6.8
200,Student_200,8.3
